127.0.0.1 - - [30/Mar/2020:20:30:32 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [30/Mar/2020:20:30:33 +0530] "GET /BankApp/ HTTP/1.1" 200 3496
0:0:0:0:0:0:0:1 - - [30/Mar/2020:20:30:33 +0530] "GET /BankApp/assests/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2020:20:30:33 +0530] "GET /BankApp/assests/commoncss/containerfluidinlogin.css HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [30/Mar/2020:20:30:33 +0530] "GET /BankApp/assests/fonts/css/all.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2020:20:30:33 +0530] "GET /BankApp/assests/js/jquery-2.2.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2020:20:30:34 +0530] "GET /BankApp/assests/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2020:20:30:34 +0530] "GET /BankApp/assests/images/Online-Banking-PNG.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2020:20:30:34 +0530] "GET /BankApp/assests/images/corosel3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2020:20:30:34 +0530] "GET /BankApp/assests/images/corosel4.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2020:20:30:34 +0530] "GET /BankApp/assests/images/corosel5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2020:20:30:34 +0530] "GET /BankApp/assests/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2020:20:30:35 +0530] "GET /BankApp/assests/fonts/webfonts/fa-solid-900.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2020:20:30:35 +0530] "GET /BankApp/assests/fonts/webfonts/fa-regular-400.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2020:20:30:46 +0530] "GET /BankApp/ HTTP/1.1" 200 3496
0:0:0:0:0:0:0:1 - - [30/Mar/2020:20:30:46 +0530] "GET /BankApp/assests/fonts/css/all.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2020:20:30:46 +0530] "GET /BankApp/assests/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2020:20:30:46 +0530] "GET /BankApp/assests/commoncss/containerfluidinlogin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2020:20:30:46 +0530] "GET /BankApp/assests/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2020:20:30:46 +0530] "GET /BankApp/assests/images/corosel3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2020:20:30:46 +0530] "GET /BankApp/assests/images/Online-Banking-PNG.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2020:20:30:46 +0530] "GET /BankApp/assests/js/jquery-2.2.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2020:20:30:46 +0530] "GET /BankApp/assests/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2020:20:30:46 +0530] "GET /BankApp/assests/images/corosel4.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2020:20:30:46 +0530] "GET /BankApp/assests/images/corosel5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2020:20:30:46 +0530] "GET /BankApp/assests/fonts/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2020:20:30:46 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
